cruise_id,ID,lat (deg N),long (deg W),day_of_month,day_of_year,depth,allox,but19,chlb,chlc12,chlc3,diadinox,fucox,hex19,hplchla,pctDVa,pctDVb,perid,POC,PON,turnchl,year,zea
arab1,12501,23.92,-59.25,28,240,10,0,0,0.0168,0.0202,0.0058,0,0.0426,0,0.26,0,0,0,200.6,25.3,0.32,1994,0.0171
arab1,12502,23.92,-59.25,28,240,23,0,0.0651,0.1536,0.1571,0.081,0.0233,0.3607,0.105,0.878,0,0,0,327.3,47.4,1.36,1994,0.0364
arab1,12503,24.82,-57.22,29,241,10,0,0.0033,0.0144,0.0108,0.0037,0,0,0.0222,0.106,0,0,0,102.7,13,0.23,1994,0.03
arab1,12504,24.82,-57.22,29,241,36,0,0.3435,0.1532,0.3817,0.1351,0.0411,0.3999,0.2408,1.19,0,0,0,280.4,43.5,1.82,1994,0.0449
arab1,12505,24.82,-57.22,29,241,10,0,0.0111,0.0089,0.0163,0.0061,0,0.016,0.0153,0.0939,0,0,0,99.7,11.9,0.22,1994,0.0524
arab1,12506,24.82,-57.22,29,241,39,0,3.5009,0.3226,2.8177,1.0757,0.4041,2.82,0.5164,4.36,0,0,1.3705,1121.1,130.2,8.7,1994,0.1037
arab1,12507,26,-56.58,30,242,10,0,0,0.0293,0.0241,0.0073,0.0023,0.0223,0.0263,0.2267,0,0,0,128,16.6,0.48,1994,0.0485
arab1,12508,26,-56.58,30,242,30,0.0068,0.0284,0.1442,0.0643,0.0232,0.0159,0.0669,0.0727,0.4831,0,0,0.0178,127.4,22.6,0.8,1994,0.0514
arab1,12509,26,-56.58,30,242,10,0.0021,0,0.0346,0.0529,0.0146,0.0176,0.0477,0.0393,0.2923,0,0,0.0246,125.2,18.9,0.48,1994,0.1117
arab1,12510,26,-56.58,30,242,29,0.0136,0.0511,0.1975,0.098,0.0434,0.0205,0.1372,0.1313,0.6104,0,0,0.0252,81.8,12.9,0.75,1994,0.0345
arab1,12511,24.33,-58.17,31,243,0,0,0,0.0179,0.0149,0.0037,0.001,0.0086,0.0182,0.1739,0,0,0,154.3,19.4,0.36,1994,0.0366
arab1,12512,24.33,-58.17,31,243,0,0,0,0.0101,0,0.0079,0.0031,0,0.0108,0.1337,0,0,0,191.4,21.9,0.29,1994,0.042
arab1,12513,22.9,-60.2,1,244,10,0,0,0.0376,0.0176,0.0066,0.0035,0.0012,0.0301,0.2022,0,0,0.0037,89.1,13.8,0.3,1994,0.0605
arab1,12514,22.9,-60.2,1,244,22,0,0.0439,0.2565,0.0698,0.0277,0.0226,0.0738,0.1378,0.6079,0,0,0.0327,138.1,23.8,0.62,1994,0.0979
arab1,12515,22.67,-60.68,1,244,10,0,0.0178,0.0451,0.051,0.016,0.0247,0.1037,0.0379,0.3507,0,0,0.0085,152.5,21.7,0.48,1994,0.1085
arab1,12516,22.67,-60.68,1,244,26,0.0043,0.0746,0.346,0.1518,0.059,0.0304,0.1749,0.2373,0.9062,5.68,0.93,0.0199,156.6,27.2,1.35,1994,0.1242
arab1,12517,21.8,-62.35,2,245,10,0,0.2157,0.0722,0.4026,0.0741,0.0618,0.5915,0.0923,1.134,0,0,0,331.5,49.9,2.37,1994,0.0187
arab1,12518,21.8,-62.35,2,245,20,0,0.0558,0.207,0.4107,0.1487,0.0607,0.8678,0.1154,1.7025,0,0,0.023,199,35.5,2.75,1994,0.0339
arab1,12519,21.25,-63.37,2,245,10,0,0.084,0.0872,0.6623,0.1391,0.0845,1.2135,0.1813,1.6963,0,0,0.0406,332.3,47.1,3.41,1994,0.0339
arab1,12520,21.25,-63.37,2,245,20,0,0.0937,0.0736,0.5179,0.138,0.0668,1.1933,0.1343,1.7027,0,0,0.0315,222,33.4,2.68,1994,0.0163
arab1,12521,20.8,-62.55,3,246,10,0.0093,0,0.078,0.0429,0.0152,0,0.0248,0.0723,0.342,0,0,0.0188,97.2,15.8,0.6,1994,0.0602
arab1,12522,20.8,-62.55,3,246,40,0.0075,0,0.0149,0.0152,0.0033,0,0.0132,0.0077,0.0663,0,0,0,48.3,6.2,0.14,1994,0.003
arab1,12523,19,-59,4,247,10,0.0304,0.0342,0.0958,0.2275,0.0728,0.0617,0.5432,0.1316,1.1524,0,0,0.0193,138.6,21.5,1.82,1994,0.0329
